CD_CLIENTE,CD_UNIDADE,CD_FAZENDA,CD_TALHAO,data_plantio,cultura,desc_operac,data_colheita,cultura_colheita,delta_tempo,semana_plantio,ciclo_max,ciclo_min,ciclo_valido,geohash_macro,geohash_regional,geohash_sub_regional,geohash_local,el_nino
49,1,1,12,2019-09-12,soja,PLANTIO SOJA,2020-02-05,soja,146.0,37,150,70,True,6,6vfd,6vfdx,6vfdxt,0
49,1,1,86,2019-10-02,soja,PLANTIO SOJA,2020-02-13,soja,134.0,40,150,70,True,6,6vff,6vffg,6vffgr,0
49,1,1,86,2019-10-09,soja,PLANTIO SOJA,2020-02-13,soja,127.0,41,150,70,True,6,6vff,6vffg,6vffgr,0
49,1,1,80,2019-10-09,soja,PLANTIO SOJA,2020-02-15,soja,129.0,41,150,70,True,6,6vfg,6vfg5,6vfg50,0
49,1,1,98,2019-10-12,soja,PLANTIO SOJA,2019-12-23,soja,72.0,41,150,70,True,6,6vff,6vffg,6vffgj,0
49,1,1,11,2019-10-14,soja,PLANTIO SOJA,2020-02-06,soja,115.0,42,150,70,True,6,6vfd,6vfdx,6vfdx2,0
49,1,1,12,2019-10-14,soja,PLANTIO SOJA,2020-02-05,soja,114.0,42,150,70,True,6,6vfd,6vfdx,6vfdxt,0
49,1,1,91,2019-10-15,soja,PLANTIO SOJA,2020-02-24,soja,132.0,42,150,70,True,6,6vfc,6vfcu,6vfcuz,0
49,1,1,88,2019-10-16,soja,PLANTIO SOJA,2020-02-17,soja,124.0,42,150,70,True,6,6vff,6vffg,6vffge,0
49,1,1,84,2019-10-16,soja,PLANTIO SOJA,2020-02-10,soja,117.0,42,150,70,True,6,6vff,6vffe,6vffef,0
49,1,1,83,2019-10-16,soja,PLANTIO SOJA,2020-02-08,soja,115.0,42,150,70,True,6,6vff,6vfff,6vfffv,0
49,1,1,5,2019-10-18,soja,PLANTIO SOJA,2020-02-21,soja,126.0,42,150,70,True,6,6vff,6vff7,6vff7w,0
49,1,1,3,2019-10-18,soja,PLANTIO SOJA,2020-02-18,soja,123.0,42,150,70,True,6,6vff,6vff7,6vff7v,0
51,1,5,1,2019-10-19,soja,PLANTIO DE SOJA,2020-03-16,soja,149.0,42,150,70,True,6,6vzh,6vzhe,6vzheu,0
49,1,1,4,2019-10-19,soja,PLANTIO SOJA,2020-02-19,soja,123.0,42,150,70,True,6,6vff,6vff7,6vff7e,0
49,1,1,7,2019-10-21,soja,PLANTIO SOJA,2020-02-10,soja,112.0,43,150,70,True,6,6vff,6vff7,6vff7k,0
49,1,1,6,2019-10-21,soja,PLANTIO SOJA,2020-02-05,soja,107.0,43,150,70,True,6,6vff,6vffh,6vffhr,0
49,1,1,87,2019-10-21,soja,PLANTIO SOJA,2020-02-10,soja,112.0,43,150,70,True,6,6vff,6vffg,6vffg8,0
49,1,1,2,2019-10-22,soja,PLANTIO SOJA,2020-02-10,soja,111.0,43,150,70,True,6,6vff,6vffk,6vffk1,0
49,1,1,1,2019-10-22,soja,PLANTIO SOJA,2020-02-19,soja,120.0,43,150,70,True,6,6vff,6vff5,6vff5z,0
49,1,1,88,2019-10-23,soja,PLANTIO SOJA,2020-02-17,soja,117.0,43,150,70,True,6,6vff,6vffg,6vffge,0
49,1,1,89,2019-10-24,soja,PLANTIO SOJA,2020-02-13,soja,112.0,43,150,70,True,6,6vff,6vffg,6vffgt,0
49,1,1,86,2019-10-25,soja,PLANTIO SOJA,2020-02-13,soja,111.0,43,150,70,True,6,6vff,6vffg,6vffgr,0
51,1,5,3,2019-10-25,soja,PLANTIO DE SOJA,2020-03-19,,146.0,43,150,70,True,6,6vzh,6vzhs,6vzhsj,0
49,1,1,57,2019-10-25,soja,PLANTIO SOJA,2020-02-22,soja,120.0,43,150,70,True,6,6vff,6vff5,6vff5z,0
49,1,1,54,2019-10-25,soja,PLANTIO SOJA,2020-02-22,soja,120.0,43,150,70,True,6,6vff,6vffh,6vffhp,0
49,1,1,80,2019-10-25,soja,PLANTIO SOJA,2020-02-15,soja,113.0,43,150,70,True,6,6vfg,6vfg5,6vfg50,0
49,1,1,58,2019-10-26,soja,PLANTIO SOJA,2020-02-24,soja,121.0,43,150,70,True,6,6vff,6vffk,6vffk7,0
49,1,1,72,2019-10-26,soja,PLANTIO SOJA,2020-02-05,soja,102.0,43,150,70,True,6,6vff,6vffc,6vffc1,0
49,1,1,74,2019-10-26,soja,PLANTIO SOJA,2020-02-05,soja,102.0,43,150,70,True,6,6vff,6vff8,6vff8x,0
49,1,1,56,2019-10-26,soja,PLANTIO SOJA,2020-02-23,soja,120.0,43,150,70,True,6,6vff,6vffh,6vffhq,0
49,1,1,59,2019-10-26,soja,PLANTIO SOJA,2020-02-23,soja,120.0,43,150,70,True,6,6vff,6vffk,6vffk1,0
49,1,1,84,2019-10-27,soja,PLANTIO SOJA,2020-02-10,soja,106.0,43,150,70,True,6,6vff,6vffe,6vffef,0
49,1,1,75,2019-10-27,soja,PLANTIO SOJA,2020-02-15,soja,111.0,43,150,70,True,6,6vff,6vff9,6vff95,0
49,1,1,82,2019-10-27,soja,PLANTIO SOJA,2020-02-12,soja,108.0,43,150,70,True,6,6vff,6vffb,6vffbf,0
49,1,1,55,2019-10-28,soja,PLANTIO SOJA,2020-02-22,soja,117.0,44,150,70,True,6,6vff,6vffk,6vffk2,0
49,1,1,77,2019-10-29,soja,PLANTIO SOJA,2020-01-23,soja,86.0,44,150,70,True,6,6vff,6vff8,6vff8b,0
49,1,1,7,2019-10-30,soja,PLANTIO SOJA,2020-02-10,soja,103.0,44,150,70,True,6,6vff,6vff7,6vff7k,0
49,1,1,70,2019-10-30,soja,PLANTIO SOJA,2020-02-21,soja,114.0,44,150,70,True,6,6vff,6vff2,6vff2q,0
49,1,1,3,2019-10-30,soja,PLANTIO SOJA,2020-02-18,soja,111.0,44,150,70,True,6,6vff,6vff7,6vff7v,0
49,1,1,76,2019-10-31,soja,PLANTIO SOJA,2020-02-21,soja,113.0,44,150,70,True,6,6vff,6vff8,6vff8k,0
49,1,1,9,2019-10-31,soja,PLANTIO SOJA,2020-02-26,soja,118.0,44,150,70,True,6,6vfd,6vfdw,6vfdwt,0
49,1,1,79,2019-10-31,soja,PLANTIO SOJA,2020-02-22,soja,114.0,44,150,70,True,6,6vff,6vff3,6vff3j,0
49,1,1,78,2019-10-31,soja,PLANTIO SOJA,2020-02-23,soja,115.0,44,150,70,True,6,6vff,6vff8,6vff81,0
49,1,1,10,2019-11-01,soja,PLANTIO SOJA,2020-02-27,soja,118.0,44,150,70,True,6,6vfd,6vfdw,6vfdwc,0
49,1,1,9,2019-11-01,soja,PLANTIO SOJA,2020-02-26,soja,117.0,44,150,70,True,6,6vfd,6vfdw,6vfdwt,0
49,1,1,86,2019-11-01,soja,PLANTIO SOJA,2020-02-13,soja,104.0,44,150,70,True,6,6vff,6vffg,6vffgr,0
49,1,1,70,2019-11-01,soja,PLANTIO SOJA,2020-02-21,soja,112.0,44,150,70,True,6,6vff,6vff2,6vff2q,0
49,1,1,76,2019-11-01,soja,PLANTIO SOJA,2020-02-21,soja,112.0,44,150,70,True,6,6vff,6vff8,6vff8k,0
49,1,1,71,2019-11-01,soja,PLANTIO SOJA,2020-02-23,soja,114.0,44,150,70,True,6,6vfd,6vfdr,6vfdrz,0
49,1,1,78,2019-11-01,soja,PLANTIO SOJA,2020-02-23,soja,114.0,44,150,70,True,6,6vff,6vff8,6vff81,0
30,1,1,16,2019-11-05,soja,PLANTIO SOJA DISCO,2020-02-20,soja,107.0,45,150,70,True,6,6yrn,6yrnu,6yrnu6,0
51,1,5,2,2019-11-05,soja,PLANTIO DE SOJA,2020-03-19,,135.0,45,150,70,True,6,6vzh,6vzhe,6vzhef,0
51,1,5,1,2019-11-05,soja,PLANTIO DE SOJA,2020-03-16,soja,132.0,45,150,70,True,6,6vzh,6vzhe,6vzheu,0
30,1,1,12,2019-11-05,soja,PLANTIO SOJA DISCO,2020-02-25,soja,112.0,45,150,70,True,6,6yrn,6yrnu,6yrnue,0
49,1,1,5,2019-11-05,soja,PLANTIO SOJA,2020-02-21,soja,108.0,45,150,70,True,6,6vff,6vff7,6vff7w,0
49,1,1,88,2019-11-05,soja,PLANTIO SOJA,2020-02-17,soja,104.0,45,150,70,True,6,6vff,6vffg,6vffge,0
49,1,1,83,2019-11-05,soja,PLANTIO SOJA,2020-02-08,soja,95.0,45,150,70,True,6,6vff,6vfff,6vfffv,0
30,1,1,11,2019-11-05,soja,PLANTIO SOJA DISCO,2020-02-21,soja,108.0,45,150,70,True,6,6yrn,6yrnu,6yrnub,0
42,1,1102,83,2019-11-06,soja,PLANTIO DE SOJA,2020-04-02,soja,148.0,45,150,70,True,6,6yxb,6yxb2,6yxb21,0
30,1,1,15,2019-11-06,soja,PLANTIO SOJA DISCO,2020-02-22,soja,108.0,45,150,70,True,6,6yrn,6yrns,6yrnsr,0
49,1,1,74,2019-11-06,soja,PLANTIO SOJA,2020-02-05,soja,91.0,45,150,70,True,6,6vff,6vff8,6vff8x,0
49,1,1,79,2019-11-06,soja,PLANTIO SOJA,2020-02-22,soja,108.0,45,150,70,True,6,6vff,6vff3,6vff3j,0
49,1,1,5,2019-11-06,soja,PLANTIO SOJA,2020-02-21,soja,107.0,45,150,70,True,6,6vff,6vff7,6vff7w,0
49,1,1,4,2019-11-06,soja,PLANTIO SOJA,2020-02-19,soja,105.0,45,150,70,True,6,6vff,6vff7,6vff7e,0
49,1,1,84,2019-11-06,soja,PLANTIO SOJA,2020-02-10,soja,96.0,45,150,70,True,6,6vff,6vffe,6vffef,0
51,1,5,3,2019-11-06,soja,PLANTIO DE SOJA,2020-03-19,,134.0,45,150,70,True,6,6vzh,6vzhs,6vzhsj,0
49,1,1,89,2019-11-07,soja,PLANTIO SOJA,2020-02-13,soja,98.0,45,150,70,True,6,6vff,6vffg,6vffgt,0
49,1,1,7,2019-11-07,soja,PLANTIO SOJA,2020-02-10,soja,95.0,45,150,70,True,6,6vff,6vff7,6vff7k,0
42,1,1102,85,2019-11-07,soja,PLANTIO DE SOJA,2020-04-04,soja,149.0,45,150,70,True,6,6yx8,6yx8n,6yx8n2,0
49,1,1,3,2019-11-07,soja,PLANTIO SOJA,2020-02-18,soja,103.0,45,150,70,True,6,6vff,6vff7,6vff7v,0
49,1,1,6,2019-11-07,soja,PLANTIO SOJA,2020-02-05,soja,90.0,45,150,70,True,6,6vff,6vffh,6vffhr,0
49,1,1,2,2019-11-08,soja,PLANTIO SOJA,2020-02-10,soja,94.0,45,150,70,True,6,6vff,6vffk,6vffk1,0
49,1,1,1,2019-11-08,soja,PLANTIO SOJA,2020-02-19,soja,103.0,45,150,70,True,6,6vff,6vff5,6vff5z,0
49,1,1,8,2019-11-09,soja,PLANTIO SOJA,2020-03-05,soja,117.0,45,150,70,True,6,6vfd,6vfdx,6vfdxh,0
49,1,1,52,2019-11-09,soja,PLANTIO SOJA,2020-02-25,soja,108.0,45,150,70,True,6,6vff,6vffm,6vffm2,0
49,1,1,51,2019-11-09,soja,PLANTIO SOJA,2020-02-25,soja,108.0,45,150,70,True,6,6vff,6vffj,6vffjw,0
49,1,1,4,2019-11-10,soja,PLANTIO SOJA,2020-02-19,soja,101.0,45,150,70,True,6,6vff,6vff7,6vff7e,0
49,1,1,3,2019-11-10,soja,PLANTIO SOJA,2020-02-18,soja,100.0,45,150,70,True,6,6vff,6vff7,6vff7v,0
49,1,1,50,2019-11-11,soja,PLANTIO SOJA,2020-03-06,soja,116.0,46,150,70,True,6,6vff,6vffj,6vffjs,0
49,1,1,53,2019-11-11,soja,PLANTIO SOJA,2020-03-08,soja,118.0,46,150,70,True,6,6vff,6vffj,6vffj5,0
49,1,1,66,2019-11-11,soja,PLANTIO SOJA,2020-03-09,soja,119.0,46,150,70,True,6,6vff,6vffj,6vffj1,0
49,1,1,62,2019-11-11,soja,PLANTIO SOJA,2020-02-25,soja,106.0,46,150,70,True,6,6vff,6vffj,6vffjj,0
51,1,5,6,2019-11-12,soja,PLANTIO DE SOJA,2020-03-29,,138.0,46,150,70,True,6,6vzh,6vzhs,6vzhsv,0
51,1,5,5,2019-11-12,soja,PLANTIO DE SOJA,2020-03-23,,132.0,46,150,70,True,6,6vzh,6vzhs,6vzhse,0
49,1,1,10,2019-11-12,soja,PLANTIO SOJA,2020-02-27,soja,107.0,46,150,70,True,6,6vfd,6vfdw,6vfdwc,0
49,1,1,68,2019-11-12,soja,PLANTIO SOJA,2020-03-10,soja,119.0,46,150,70,True,6,6vff,6vffj,6vffj0,0
49,1,1,67,2019-11-12,soja,PLANTIO SOJA,2020-03-10,soja,119.0,46,150,70,True,6,6vfc,6vfcv,6vfcvp,0
49,1,1,5,2019-11-12,soja,PLANTIO SOJA,2020-02-21,soja,101.0,46,150,70,True,6,6vff,6vff7,6vff7w,0
49,1,1,7,2019-11-13,soja,PLANTIO SOJA,2020-02-10,soja,89.0,46,150,70,True,6,6vff,6vff7,6vff7k,0
49,1,1,6,2019-11-13,soja,PLANTIO SOJA,2020-02-05,soja,84.0,46,150,70,True,6,6vff,6vffh,6vffhr,0
49,1,1,61,2019-11-13,soja,PLANTIO SOJA,2020-03-08,soja,116.0,46,150,70,True,6,6vfc,6vfcv,6vfcvx,0
49,1,1,60,2019-11-13,soja,PLANTIO SOJA,2020-03-12,soja,120.0,46,150,70,True,6,6vfc,6vfcv,6vfcvz,0
51,1,5,11,2019-11-14,soja,PLANTIO DE SOJA,2020-04-07,,145.0,46,150,70,True,6,6vzh,6vzhw,6vzhwj,0
127,1,1,25,2019-11-14,soja,PLANTIO SOJA,2020-03-17,soja,124.0,46,150,70,True,6,6vq8,6vq8y,6vq8y0,0
127,1,1,27,2019-11-14,soja,PLANTIO SOJA,2020-03-16,soja,123.0,46,150,70,True,6,6vq8,6vq8y,6vq8y2,0
49,1,1,65,2019-11-14,soja,PLANTIO SOJA,2020-03-07,soja,114.0,46,150,70,True,6,6vff,6vffj,6vffjd,0
127,1,1,28,2019-11-14,soja,PLANTIO SOJA,2020-03-17,soja,124.0,46,150,70,True,6,6vq8,6vq8t,6vq8te,0
49,1,1,12,2019-11-15,soja,PLANTIO SOJA,2020-02-05,soja,82.0,46,150,70,True,6,6vfd,6vfdx,6vfdxt,0
49,1,1,11,2019-11-15,soja,PLANTIO SOJA,2020-02-06,soja,83.0,46,150,70,True,6,6vfd,6vfdx,6vfdx2,0
127,1,1,10,2019-11-15,soja,PLANTIO SOJA,2020-03-08,soja,114.0,46,150,70,True,6,6vq8,6vq8w,6vq8wg,0
127,1,1,8,2019-11-15,soja,PLANTIO SOJA,2020-03-04,soja,110.0,46,150,70,True,6,6vq8,6vq8w,6vq8wd,0
127,1,1,29,2019-11-15,soja,PLANTIO SOJA,2020-03-10,soja,116.0,46,150,70,True,6,6vq8,6vq8x,6vq8xj,0
127,1,1,32,2019-11-15,soja,PLANTIO SOJA,2020-03-13,soja,119.0,46,150,70,True,6,6vq8,6vq8x,6vq8xp,0
127,1,1,7,2019-11-15,soja,PLANTIO SOJA,2020-03-09,soja,115.0,46,150,70,True,6,6vq8,6vq8w,6vq8wc,0
127,1,1,9,2019-11-15,soja,PLANTIO SOJA,2020-03-04,soja,110.0,46,150,70,True,6,6vq8,6vq8w,6vq8wd,0
127,1,1,6,2019-11-15,soja,PLANTIO SOJA,2020-03-10,soja,116.0,46,150,70,True,6,6vq8,6vq8w,6vq8w8,0
49,1,1,9,2019-11-15,soja,PLANTIO SOJA,2020-02-26,soja,103.0,46,150,70,True,6,6vfd,6vfdw,6vfdwt,0
49,1,1,63,2019-11-15,soja,PLANTIO SOJA,2020-03-07,soja,113.0,46,150,70,True,6,6vff,6vffj,6vffjc,0
49,1,1,8,2019-11-16,soja,PLANTIO SOJA,2020-03-05,soja,110.0,46,150,70,True,6,6vfd,6vfdx,6vfdxh,0
49,1,1,64,2019-11-16,soja,PLANTIO SOJA,2020-03-07,soja,112.0,46,150,70,True,6,6vff,6vffj,6vffju,0
127,1,1,40,2019-11-16,soja,PLANTIO SOJA,2020-03-13,soja,118.0,46,150,70,True,6,6vq8,6vq8t,6vq8tw,0
49,1,1,10,2019-11-16,soja,PLANTIO SOJA,2020-02-27,soja,103.0,46,150,70,True,6,6vfd,6vfdw,6vfdwc,0
127,1,1,33,2019-11-16,soja,PLANTIO SOJA,2020-03-09,soja,114.0,46,150,70,True,6,6vq8,6vq8w,6vq8wz,0
127,1,1,11,2019-11-16,soja,PLANTIO SOJA,2020-03-12,soja,117.0,46,150,70,True,6,6vq8,6vq8w,6vq8wv,0
127,1,1,31,2019-11-16,soja,PLANTIO SOJA,2020-03-09,soja,114.0,46,150,70,True,6,6vq8,6vq8x,6vq8xr,0
127,1,1,15,2019-11-16,soja,PLANTIO SOJA,2020-03-14,soja,119.0,46,150,70,True,6,6vq8,6vq8w,6vq8w4,0
127,1,1,34,2019-11-17,soja,PLANTIO SOJA,2020-03-14,soja,118.0,46,150,70,True,6,6vq8,6vq8x,6vq8xm,0
127,1,1,14,2019-11-17,soja,PLANTIO SOJA,2020-03-15,soja,119.0,46,150,70,True,6,6vq8,6vq8w,6vq8ws,0
127,1,1,37,2019-11-17,soja,PLANTIO SOJA,2020-03-14,soja,118.0,46,150,70,True,6,6vq8,6vq8v,6vq8vs,0
127,1,1,13,2019-11-17,soja,PLANTIO SOJA,2020-03-14,soja,118.0,46,150,70,True,6,6vq8,6vq8w,6vq8w7,0
127,1,1,12,2019-11-17,soja,PLANTIO SOJA,2020-03-14,soja,118.0,46,150,70,True,6,6vq8,6vq8w,6vq8ws,0
127,1,1,38,2019-11-17,soja,PLANTIO SOJA,2020-03-15,soja,119.0,46,150,70,True,6,6vq8,6vq8v,6vq8vd,0
49,1,1,55,2019-11-17,soja,PLANTIO SOJA,2020-02-22,soja,97.0,46,150,70,True,6,6vff,6vffk,6vffk2,0
127,1,1,39,2019-11-17,soja,PLANTIO SOJA,2020-03-15,soja,119.0,46,150,70,True,6,6vq8,6vq8v,6vq8vg,0
127,1,1,23,2019-11-18,soja,PLANTIO SOJA,2020-04-05,soja,139.0,47,150,70,True,6,6vq8,6vq8w,6vq8wm,0
127,1,1,24,2019-11-18,soja,PLANTIO SOJA,2020-03-19,soja,122.0,47,150,70,True,6,6vq8,6vq8w,6vq8wh,0
127,1,1,22,2019-11-18,soja,PLANTIO SOJA,2020-03-18,soja,121.0,47,150,70,True,6,6vq8,6vq8w,6vq8wq,0
127,1,1,18,2019-11-18,soja,PLANTIO SOJA,2020-03-22,soja,125.0,47,150,70,True,6,6vq8,6vq8w,6vq8w7,0
49,1,1,58,2019-11-18,soja,PLANTIO SOJA,2020-02-24,soja,98.0,47,150,70,True,6,6vff,6vffk,6vffk7,0
51,1,5,11,2019-11-18,soja,PLANTIO DE SOJA SEMENTE,2020-04-07,,141.0,47,150,70,True,6,6vzh,6vzhw,6vzhwj,0
49,1,1,74,2019-11-19,soja,PLANTIO SOJA,2020-02-05,soja,78.0,47,150,70,True,6,6vff,6vff8,6vff8x,0
127,1,1,19,2019-11-19,soja,PLANTIO SOJA,2020-04-06,soja,139.0,47,150,70,True,6,6vq8,6vq8w,6vq8wk,0
49,1,1,86,2019-11-19,soja,PLANTIO SOJA,2020-02-13,soja,86.0,47,150,70,True,6,6vff,6vffg,6vffgr,0
42,1,1102,77,2019-11-19,soja,PLANTIO DE SOJA,2020-04-08,soja,141.0,47,150,70,True,6,6yxb,6yxb0,6yxb0j,0
42,1,1102,85,2019-11-20,soja,PLANTIO DE SOJA,2020-04-04,soja,136.0,47,150,70,True,6,6yx8,6yx8n,6yx8n2,0
51,1,5,9,2019-11-20,soja,PLANTIO DE SOJA,2020-04-14,,146.0,47,150,70,True,6,6vzh,6vzht,6vzht6,0
127,1,1,21,2019-11-20,soja,PLANTIO SOJA,2020-04-04,soja,136.0,47,150,70,True,6,6vq8,6vq8w,6vq8wy,0
127,1,1,20,2019-11-20,soja,PLANTIO SOJA,2020-04-03,soja,135.0,47,150,70,True,6,6vq8,6vq8w,6vq8wt,0
51,1,5,10,2019-11-20,soja,PLANTIO DE SOJA,2020-04-11,soja,143.0,47,150,70,True,6,6vzh,6vzht,6vzhts,0
49,1,1,91,2019-11-21,soja,PLANTIO SOJA,2020-02-24,soja,95.0,47,150,70,True,6,6vfc,6vfcu,6vfcuz,0
49,1,1,12,2019-11-22,soja,PLANTIO SOJA,2020-02-05,soja,75.0,47,150,70,True,6,6vfd,6vfdx,6vfdxt,0
42,1,1102,78,2019-11-22,soja,PLANTIO DE SOJA,2020-04-09,soja,139.0,47,150,70,True,6,6yx8,6yx8p,6yx8pd,0
42,1,1102,88,2019-11-22,soja,PLANTIO DE SOJA,2020-04-06,soja,136.0,47,150,70,True,6,6yx8,6yx8p,6yx8p7,0
42,1,1102,80,2019-11-23,soja,PLANTIO DE SOJA,2020-03-31,soja,129.0,47,150,70,True,6,6yx8,6yx87,6yx87x,0
51,1,5,9,2019-11-25,soja,PLANTIO DE SOJA SEMENTE,2020-04-14,,141.0,48,150,70,True,6,6vzh,6vzht,6vzht6,0
49,1,1,53,2019-11-26,soja,PLANTIO SOJA,2020-03-08,soja,103.0,48,150,70,True,6,6vff,6vffj,6vffj5,0
49,1,1,66,2019-11-26,soja,PLANTIO SOJA,2020-03-09,soja,104.0,48,150,70,True,6,6vff,6vffj,6vffj1,0
49,1,1,60,2019-11-27,soja,PLANTIO SOJA,2020-03-12,soja,106.0,48,150,70,True,6,6vfc,6vfcv,6vfcvz,0
49,1,1,67,2019-11-27,soja,PLANTIO SOJA,2020-03-10,soja,104.0,48,150,70,True,6,6vfc,6vfcv,6vfcvp,0
42,1,1102,77,2019-11-28,soja,PLANTIO DE SOJA,2020-04-08,soja,132.0,48,150,70,True,6,6yxb,6yxb0,6yxb0j,0
42,1,1102,83,2019-11-28,soja,PLANTIO DE SOJA,2020-04-02,soja,126.0,48,150,70,True,6,6yxb,6yxb2,6yxb21,0
42,1,1102,79,2019-11-28,soja,PLANTIO DE SOJA,2020-03-31,soja,124.0,48,150,70,True,6,6yx8,6yx8u,6yx8u4,0
49,1,1,2,2019-11-28,soja,PLANTIO SOJA,2020-02-10,soja,74.0,48,150,70,True,6,6vff,6vffk,6vffk1,0
51,1,8,17,2019-11-29,soja,PLANTIO DE SOJA SEMENTE,2020-04-26,,149.0,48,150,70,True,6,6vzk,6vzk3,6vzk34,0
127,1,1,43,2019-11-29,soja,PLANTIO SOJA,2020-04-02,soja,125.0,48,150,70,True,6,6vq8,6vq8y,6vq8y4,0
51,1,5,4,2019-11-29,soja,PLANTIO DE SOJA SEMENTE,2020-04-20,soja,143.0,48,150,70,True,6,6vzh,6vzhs,6vzhs2,0
127,1,1,42,2019-11-29,soja,PLANTIO SOJA,2020-04-02,soja,125.0,48,150,70,True,6,6vq8,6vq8t,6vq8tt,0
49,1,1,1,2019-11-29,soja,PLANTIO SOJA,2020-02-19,soja,82.0,48,150,70,True,6,6vff,6vff5,6vff5z,0
42,1,1102,86,2019-11-29,soja,PLANTIO DE SOJA,2020-04-04,soja,127.0,48,150,70,True,6,6yx8,6yx8n,6yx8nb,0
49,1,1,10,2019-11-30,soja,PLANTIO SOJA,2020-02-27,soja,89.0,48,150,70,True,6,6vfd,6vfdw,6vfdwc,0
127,1,1,41,2019-11-30,soja,PLANTIO SOJA,2020-04-02,soja,124.0,48,150,70,True,6,6vq8,6vq8t,6vq8tq,0
51,1,8,21,2019-12-01,soja,PLANTIO DE SOJA,2020-04-27,,148.0,48,150,70,True,6,6vzh,6vzhp,6vzhpc,0
51,1,8,12,2019-12-01,soja,PLANTIO DE SOJA,2020-04-26,,147.0,48,150,70,True,6,6vzh,6vzhp,6vzhpg,0
51,1,8,11,2019-12-01,soja,PLANTIO DE SOJA,2020-04-27,,148.0,48,150,70,True,6,6vzh,6vzhp,6vzhp3,0
51,1,8,17,2019-12-01,soja,PLANTIO DE SOJA,2020-04-26,,147.0,48,150,70,True,6,6vzk,6vzk3,6vzk34,0
127,1,1,4,2019-12-02,soja,PLANTIO SOJA,2020-04-11,soja,131.0,49,150,70,True,6,6vq8,6vq8w,6vq8w4,0
127,1,1,5,2019-12-02,soja,PLANTIO SOJA,2020-04-14,soja,134.0,49,150,70,True,6,6vq8,6vq8w,6vq8w3,0
51,1,5,5,2019-12-02,soja,PLANTIO DE SOJA,2020-03-23,,112.0,49,150,70,True,6,6vzh,6vzhs,6vzhse,0
51,1,5,10,2019-12-02,soja,PLANTIO DE SOJA,2020-04-11,soja,131.0,49,150,70,True,6,6vzh,6vzht,6vzhts,0
127,1,1,3,2019-12-02,soja,PLANTIO SOJA,2020-04-08,soja,128.0,49,150,70,True,6,6vq8,6vq8w,6vq8w1,0
51,1,5,9,2019-12-02,soja,PLANTIO DE SOJA,2020-04-14,,134.0,49,150,70,True,6,6vzh,6vzht,6vzht6,0
42,1,1102,85,2019-12-02,soja,PLANTIO DE SOJA,2020-04-04,soja,124.0,49,150,70,True,6,6yx8,6yx8n,6yx8n2,0
127,1,1,2,2019-12-03,soja,PLANTIO SOJA,2020-04-11,soja,130.0,49,150,70,True,6,6vq8,6vq8t,6vq8tf,0
51,1,5,2,2019-12-03,soja,PLANTIO DE SOJA,2020-03-19,,107.0,49,150,70,True,6,6vzh,6vzhe,6vzhef,0
51,1,5,11,2019-12-03,soja,PLANTIO DE SOJA,2020-04-07,,126.0,49,150,70,True,6,6vzh,6vzhw,6vzhwj,0
42,1,1102,80,2019-12-03,soja,PLANTIO DE SOJA,2020-03-31,soja,119.0,49,150,70,True,6,6yx8,6yx87,6yx87x,0
49,1,1,10,2019-12-04,soja,PLANTIO SOJA,2020-02-27,soja,85.0,49,150,70,True,6,6vfd,6vfdw,6vfdwc,0
127,1,1,1,2019-12-04,soja,PLANTIO SOJA,2020-04-08,soja,126.0,49,150,70,True,6,6vq8,6vq8w,6vq8w4,0
42,1,1102,77,2019-12-05,soja,PLANTIO DE SOJA,2020-04-08,soja,125.0,49,150,70,True,6,6yxb,6yxb0,6yxb0j,0
42,1,1102,83,2019-12-05,soja,PLANTIO DE SOJA,2020-04-02,soja,119.0,49,150,70,True,6,6yxb,6yxb2,6yxb21,0
51,1,2,4,2019-12-05,algodao,PLANTIO DE ALGODAO,2020-06-04,,182.0,49,200,130,True,6,6vz4,6vz4v,6vz4vu,0
42,1,1102,88,2019-12-06,soja,PLANTIO DE SOJA,2020-04-06,soja,122.0,49,150,70,True,6,6yx8,6yx8p,6yx8p7,0
42,1,1102,78,2019-12-07,soja,PLANTIO DE SOJA,2020-04-09,soja,124.0,49,150,70,True,6,6yx8,6yx8p,6yx8pd,0
42,1,1102,79,2019-12-08,soja,PLANTIO DE SOJA,2020-03-31,soja,114.0,49,150,70,True,6,6yx8,6yx8u,6yx8u4,0
42,1,1102,76,2019-12-11,soja,PLANTIO DE SOJA,2020-04-29,soja,140.0,50,150,70,True,6,6yx8,6yx8p,6yx8pw,0
49,1,1,91,2019-12-13,soja,PLANTIO SOJA,2020-02-24,soja,73.0,50,150,70,True,6,6vfc,6vfcu,6vfcuz,0
51,1,5,5,2019-12-16,soja,PLANTIO DE SOJA,2020-03-23,,98.0,51,150,70,True,6,6vzh,6vzhs,6vzhse,0
51,1,8,12,2019-12-17,milho,PLANTIO DE MILHO,2020-04-26,,131.0,51,160,80,True,6,6vzh,6vzhp,6vzhpg,0
51,1,8,12,2019-12-17,soja,PLANTIO DE SOJA,2020-04-26,,131.0,51,150,70,True,6,6vzh,6vzhp,6vzhpg,0
51,1,8,8,2019-12-17,algodao,PLANTIO DE ALGODAO,2020-06-25,algodao,191.0,51,200,130,True,6,6vzk,6vzk2,6vzk2v,0
